epoch conv ff
2.450000000000000000e+02 3.160915371702426689e-06 1.520206220448017066e-04
2.460000000000000000e+02 2.823139836106391362e-06 8.433896000497043404e-05
2.470000000000000000e+02 3.238641401499926410e-06 1.434080069884657751e-04
2.480000000000000000e+02 3.412621830720256192e-06 1.524635823443531936e-04
2.490000000000000000e+02 3.034035282345101936e-06 9.282014216296374256e-05
2.500000000000000000e+02 2.945048911984859440e-06 8.633456891402602738e-05
2.510000000000000000e+02 3.312913955550339313e-06 1.250473898835480105e-04
2.520000000000000000e+02 3.188727622859124021e-06 1.648000790737569224e-04
2.530000000000000000e+02 3.151263147071475654e-06 1.104653463698923561e-04
2.540000000000000000e+02 3.193976777380774952e-06 1.195009099319577217e-04
2.550000000000000000e+02 2.919520076525857685e-06 1.043008407577872303e-04
2.560000000000000000e+02 2.920159443290080788e-06 7.886572857387363369e-05
2.570000000000000000e+02 3.308891858779598214e-06 1.325828372500836741e-04
2.580000000000000000e+02 3.384086569108201906e-06 1.499059144407510757e-04
2.590000000000000000e+02 3.229816104736293926e-06 1.373314880765974522e-04
2.600000000000000000e+02 3.322717028355780423e-06 1.221232581883668954e-04
2.610000000000000000e+02 3.123893320398978964e-06 1.005625003017485196e-04
2.620000000000000000e+02 3.033268620836374228e-06 9.025045437738299370e-05
2.630000000000000000e+02 3.266047370352142343e-06 1.381748705171048750e-04
2.640000000000000000e+02 3.368570417634533528e-06 1.422303146682679762e-04
2.650000000000000000e+02 3.306818539387973973e-06 1.445112517103552764e-04
2.660000000000000000e+02 3.138820246378864163e-06 9.778955718502402577e-05
2.670000000000000000e+02 3.573064980525130523e-06 1.623976160772144686e-04
2.680000000000000000e+02 3.124491117409467344e-06 1.114948769100010341e-04
2.690000000000000000e+02 3.155841836081364354e-06 1.040373346768319634e-04
2.700000000000000000e+02 3.290356639655125584e-06 1.350792474113404642e-04
2.710000000000000000e+02 3.215331015667311517e-06 1.109645934775471660e-04
2.720000000000000000e+02 3.113544042799384185e-06 1.050757477059960420e-04
2.730000000000000000e+02 3.210606341909099541e-06 1.235699048265814673e-04
2.740000000000000000e+02 3.602097117443856930e-06 1.512898132205009569e-04
2.750000000000000000e+02 3.086523546079085857e-06 9.178710752166807652e-05
2.760000000000000000e+02 3.482681844771489805e-06 1.614661887288093567e-04
2.770000000000000000e+02 3.480259598453607459e-06 1.452430733479559422e-04
2.780000000000000000e+02 3.622543964587567556e-06 1.561028067953884493e-04
2.790000000000000000e+02 3.291138625544689999e-06 9.623898658901452747e-05
2.800000000000000000e+02 3.350363819872076193e-06 1.350986072793602889e-04
2.810000000000000000e+02 3.149131418059300239e-06 9.999268222600221363e-05
2.820000000000000000e+02 3.258331329468158324e-06 1.195049728266894844e-04
2.830000000000000000e+02 3.502921588673534255e-06 1.391578000038862120e-04
2.840000000000000000e+02 3.246424713650817473e-06 1.227879896759986932e-04
2.850000000000000000e+02 3.778474324800825547e-06 1.711901626549661214e-04
2.860000000000000000e+02 3.603187482462850763e-06 1.514497911557555253e-04
2.870000000000000000e+02 3.477111615772790953e-06 1.399838482029736150e-04
2.880000000000000000e+02 3.457141588275167112e-06 1.316908863373100866e-04
2.890000000000000000e+02 3.516829862933170747e-06 1.314553199335932840e-04
2.900000000000000000e+02 3.187834600674470249e-06 9.981204057112336430e-05
2.910000000000000000e+02 3.696953921987608186e-06 1.568270265124738108e-04
2.920000000000000000e+02 3.442996125019982915e-06 1.315347384661436135e-04
2.930000000000000000e+02 3.547083387587978800e-06 1.478470512665808201e-04
2.940000000000000000e+02 3.422620806884774555e-06 1.217264216393232346e-04
2.950000000000000000e+02 3.331749263933749519e-06 1.160145737230777713e-04
2.960000000000000000e+02 3.174346140644664408e-06 8.622977184131741253e-05
2.970000000000000000e+02 3.242607663443021567e-06 9.280442609451710636e-05
2.980000000000000000e+02 4.095483885984329253e-06 2.033729571849107634e-04
