t risk
1.900000000000000000e+02 5.853900909423828125e+00
1.930000000000000000e+02 5.850666522979736328e+00
1.960000000000000000e+02 5.847536563873291016e+00
1.990000000000000000e+02 5.844525337219238281e+00
2.020000000000000000e+02 5.841627120971679688e+00
2.050000000000000000e+02 5.838846206665039062e+00
2.080000000000000000e+02 5.836142539978027344e+00
2.110000000000000000e+02 5.833569526672363281e+00
2.150000000000000000e+02 5.830259799957275391e+00
2.180000000000000000e+02 5.827904224395751953e+00
2.210000000000000000e+02 5.825625419616699219e+00
2.250000000000000000e+02 5.822687149047851562e+00
2.280000000000000000e+02 5.820598602294921875e+00
2.320000000000000000e+02 5.817904472351074219e+00
2.360000000000000000e+02 5.815339565277099609e+00
2.390000000000000000e+02 5.813470363616943359e+00
2.430000000000000000e+02 5.811109542846679688e+00
2.470000000000000000e+02 5.808844566345214844e+00
2.510000000000000000e+02 5.806679248809814453e+00
2.550000000000000000e+02 5.804600238800048828e+00
2.590000000000000000e+02 5.802612304687500000e+00
2.630000000000000000e+02 5.800709724426269531e+00
2.670000000000000000e+02 5.798885345458984375e+00
2.710000000000000000e+02 5.797145843505859375e+00
2.750000000000000000e+02 5.795468807220458984e+00
2.790000000000000000e+02 5.793869495391845703e+00
2.840000000000000000e+02 5.791961193084716797e+00
2.880000000000000000e+02 5.790503978729248047e+00
2.930000000000000000e+02 5.788765907287597656e+00
2.970000000000000000e+02 5.787423133850097656e+00
3.020000000000000000e+02 5.785825729370117188e+00
3.070000000000000000e+02 5.784305572509765625e+00
3.110000000000000000e+02 5.783142566680908203e+00
3.160000000000000000e+02 5.781754016876220703e+00
3.210000000000000000e+02 5.780432701110839844e+00
3.260000000000000000e+02 5.779174327850341797e+00
3.310000000000000000e+02 5.777972221374511719e+00
3.360000000000000000e+02 5.776823520660400391e+00
3.420000000000000000e+02 5.775521755218505859e+00
3.470000000000000000e+02 5.774490356445312500e+00
3.530000000000000000e+02 5.773313522338867188e+00
3.580000000000000000e+02 5.772385120391845703e+00
3.640000000000000000e+02 5.771325111389160156e+00
3.690000000000000000e+02 5.770482063293457031e+00
3.750000000000000000e+02 5.769524574279785156e+00
3.810000000000000000e+02 5.768624305725097656e+00
3.870000000000000000e+02 5.767831802368164062e+00
3.930000000000000000e+02 5.767086029052734375e+00
3.990000000000000000e+02 5.766375541687011719e+00
4.050000000000000000e+02 5.765701293945312500e+00
4.120000000000000000e+02 5.764964103698730469e+00
4.180000000000000000e+02 5.764362812042236328e+00
4.250000000000000000e+02 5.763698101043701172e+00
4.310000000000000000e+02 5.763159275054931641e+00
4.380000000000000000e+02 5.762567043304443359e+00
4.450000000000000000e+02 5.762008190155029297e+00
4.520000000000000000e+02 5.761482715606689453e+00
4.590000000000000000e+02 5.760989189147949219e+00
4.660000000000000000e+02 5.760515689849853516e+00
4.730000000000000000e+02 5.760077953338623047e+00
4.810000000000000000e+02 5.759603500366210938e+00
4.880000000000000000e+02 5.759212493896484375e+00
4.960000000000000000e+02 5.758793830871582031e+00
5.030000000000000000e+02 5.758450508117675781e+00
5.110000000000000000e+02 5.758076667785644531e+00
5.190000000000000000e+02 5.757729530334472656e+00
5.270000000000000000e+02 5.757404327392578125e+00
5.360000000000000000e+02 5.757065296173095703e+00
5.440000000000000000e+02 5.756780624389648438e+00
5.530000000000000000e+02 5.756481170654296875e+00
5.610000000000000000e+02 5.756232261657714844e+00
5.700000000000000000e+02 5.755972385406494141e+00
5.790000000000000000e+02 5.755726814270019531e+00
5.880000000000000000e+02 5.755497455596923828e+00
5.970000000000000000e+02 5.755286693572998047e+00
6.060000000000000000e+02 5.755089282989501953e+00
6.160000000000000000e+02 5.754882812500000000e+00
6.250000000000000000e+02 5.754710197448730469e+00
6.350000000000000000e+02 5.754532337188720703e+00
6.450000000000000000e+02 5.754368305206298828e+00
6.550000000000000000e+02 5.754216194152832031e+00
6.650000000000000000e+02 5.754074573516845703e+00
6.760000000000000000e+02 5.753931999206542969e+00
6.860000000000000000e+02 5.753810405731201172e+00
6.970000000000000000e+02 5.753686904907226562e+00
7.080000000000000000e+02 5.753572940826416016e+00
7.190000000000000000e+02 5.753470420837402344e+00
7.300000000000000000e+02 5.753374576568603516e+00
7.420000000000000000e+02 5.753280639648437500e+00
7.530000000000000000e+02 5.753197669982910156e+00
7.650000000000000000e+02 5.753115177154541016e+00
7.770000000000000000e+02 5.753042221069335938e+00
7.890000000000000000e+02 5.752974033355712891e+00
8.010000000000000000e+02 5.752912998199462891e+00
8.140000000000000000e+02 5.752849578857421875e+00
8.270000000000000000e+02 5.752795219421386719e+00
8.390000000000000000e+02 5.752748489379882812e+00
8.530000000000000000e+02 5.752698421478271484e+00
8.660000000000000000e+02 5.752656936645507812e+00
8.790000000000000000e+02 5.752619743347167969e+00
8.930000000000000000e+02 5.752580165863037109e+00
9.070000000000000000e+02 5.752548217773437500e+00
9.210000000000000000e+02 5.752515316009521484e+00
9.360000000000000000e+02 5.752488613128662109e+00
9.500000000000000000e+02 5.752462863922119141e+00
9.650000000000000000e+02 5.752439498901367188e+00
9.800000000000000000e+02 5.752416610717773438e+00
9.950000000000000000e+02 5.752398014068603516e+00
1.011000000000000000e+03 5.752379894256591797e+00
1.027000000000000000e+03 5.752363204956054688e+00
1.043000000000000000e+03 5.752349376678466797e+00
1.059000000000000000e+03 5.752336502075195312e+00
1.075000000000000000e+03 5.752324104309082031e+00
1.092000000000000000e+03 5.752314567565917969e+00
1.109000000000000000e+03 5.752304077148437500e+00
1.127000000000000000e+03 5.752294540405273438e+00
1.144000000000000000e+03 5.752286434173583984e+00
1.162000000000000000e+03 5.752279281616210938e+00
1.180000000000000000e+03 5.752273559570312500e+00
1.199000000000000000e+03 5.752267360687255859e+00
1.217000000000000000e+03 5.752263069152832031e+00
1.236000000000000000e+03 5.752258777618408203e+00
1.256000000000000000e+03 5.752255439758300781e+00
1.275000000000000000e+03 5.752252578735351562e+00
1.295000000000000000e+03 5.752250194549560547e+00
1.315000000000000000e+03 5.752249240875244141e+00
1.336000000000000000e+03 5.752247810363769531e+00
1.357000000000000000e+03 5.752245903015136719e+00
1.378000000000000000e+03 5.752243518829345703e+00
1.399000000000000000e+03 5.752242565155029297e+00
1.421000000000000000e+03 5.752241134643554688e+00
1.443000000000000000e+03 5.752238750457763672e+00
1.466000000000000000e+03 5.752237319946289062e+00
1.489000000000000000e+03 5.752237319946289062e+00
1.512000000000000000e+03 5.752234935760498047e+00
1.536000000000000000e+03 5.752235889434814453e+00
1.560000000000000000e+03 5.752233505249023438e+00
1.584000000000000000e+03 5.752233982086181641e+00
1.609000000000000000e+03 5.752233982086181641e+00
1.634000000000000000e+03 5.752232074737548828e+00
1.659000000000000000e+03 5.752232074737548828e+00
1.685000000000000000e+03 5.752232074737548828e+00
1.711000000000000000e+03 5.752232074737548828e+00
1.738000000000000000e+03 5.752232074737548828e+00
1.765000000000000000e+03 5.752231597900390625e+00
1.793000000000000000e+03 5.752231597900390625e+00
1.821000000000000000e+03 5.752231597900390625e+00
1.849000000000000000e+03 5.752230644226074219e+00
1.878000000000000000e+03 5.752230644226074219e+00
1.907000000000000000e+03 5.752230644226074219e+00
1.937000000000000000e+03 5.752230644226074219e+00
1.967000000000000000e+03 5.752231597900390625e+00
1.998000000000000000e+03 5.752231597900390625e+00
2.029000000000000000e+03 5.752230167388916016e+00
2.061000000000000000e+03 5.752230644226074219e+00
2.093000000000000000e+03 5.752230167388916016e+00
2.126000000000000000e+03 5.752230167388916016e+00
2.159000000000000000e+03 5.752230167388916016e+00
2.192000000000000000e+03 5.752230167388916016e+00
2.227000000000000000e+03 5.752230167388916016e+00
2.261000000000000000e+03 5.752229690551757812e+00
2.297000000000000000e+03 5.752230167388916016e+00
2.333000000000000000e+03 5.752229690551757812e+00
2.369000000000000000e+03 5.752229690551757812e+00
2.406000000000000000e+03 5.752229690551757812e+00
2.443000000000000000e+03 5.752229213714599609e+00
2.482000000000000000e+03 5.752229213714599609e+00
2.520000000000000000e+03 5.752229213714599609e+00
2.560000000000000000e+03 5.752229213714599609e+00
2.600000000000000000e+03 5.752229690551757812e+00
2.640000000000000000e+03 5.752229690551757812e+00
2.681000000000000000e+03 5.752229213714599609e+00
2.723000000000000000e+03 5.752229213714599609e+00
2.766000000000000000e+03 5.752227783203125000e+00
2.809000000000000000e+03 5.752228260040283203e+00
2.853000000000000000e+03 5.752228260040283203e+00
2.897000000000000000e+03 5.752227783203125000e+00
2.942000000000000000e+03 5.752228260040283203e+00
2.988000000000000000e+03 5.752227783203125000e+00
3.035000000000000000e+03 5.752227783203125000e+00
3.082000000000000000e+03 5.752227783203125000e+00
3.130000000000000000e+03 5.752227783203125000e+00
3.179000000000000000e+03 5.752227783203125000e+00
3.229000000000000000e+03 5.752227783203125000e+00
3.279000000000000000e+03 5.752227783203125000e+00
3.330000000000000000e+03 5.752227783203125000e+00
3.382000000000000000e+03 5.752227783203125000e+00
3.435000000000000000e+03 5.752227783203125000e+00
3.489000000000000000e+03 5.752227783203125000e+00
3.543000000000000000e+03 5.752227783203125000e+00
3.598000000000000000e+03 5.752227783203125000e+00
3.654000000000000000e+03 5.752227783203125000e+00
3.711000000000000000e+03 5.752227783203125000e+00
3.769000000000000000e+03 5.752227306365966797e+00
3.828000000000000000e+03 5.752227306365966797e+00
3.888000000000000000e+03 5.752226352691650391e+00
3.948000000000000000e+03 5.752226352691650391e+00
4.010000000000000000e+03 5.752226352691650391e+00
4.073000000000000000e+03 5.752227306365966797e+00
4.136000000000000000e+03 5.752227306365966797e+00
4.201000000000000000e+03 5.752227306365966797e+00
4.266000000000000000e+03 5.752227783203125000e+00
4.333000000000000000e+03 5.752226352691650391e+00
4.400000000000000000e+03 5.752227306365966797e+00
4.469000000000000000e+03 5.752226352691650391e+00
4.539000000000000000e+03 5.752225875854492188e+00
4.610000000000000000e+03 5.752226352691650391e+00
4.682000000000000000e+03 5.752226352691650391e+00
4.755000000000000000e+03 5.752226352691650391e+00
4.829000000000000000e+03 5.752226352691650391e+00
4.904000000000000000e+03 5.752225875854492188e+00
4.981000000000000000e+03 5.752225399017333984e+00
5.058000000000000000e+03 5.752225399017333984e+00
5.137000000000000000e+03 5.752224922180175781e+00
5.217000000000000000e+03 5.752225399017333984e+00
5.299000000000000000e+03 5.752225399017333984e+00
5.381000000000000000e+03 5.752225399017333984e+00
5.465000000000000000e+03 5.752225399017333984e+00
